Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,21,90,0.5,0,0.61103,0
2,1,21,90,0.5,0,3.7664,0
3,2,7,35,0.5,0,1.8587,1
4,2,7,90,1,0,0.40042,0
5,2,18,25,1,1,3.2003,0
6,1,7,35,0.5,1,1.0805,0
7,1,7,90,1,1,2.3006,0
8,1,18,25,1,0,1.2238,0
9,1,21,25,0.5,0,0.48532,0
10,1,10,25,0.5,1,1.5153,0
11,2,21,25,0.5,1,0.43159,0
12,1,4,25,1,0,0.54026,1
13,1,10,35,1,0,0.4621,1
14,2,10,25,0.5,1,0.61703,0
15,1,18,18,0.5,1,0.66027,1
16,1,7,90,0.068,0,0.5975,1
17,1,7,25,0.5,1,0.78485,0
18,1,4,25,0.068,0,1.4077,1
19,1,4,18,1,1,0.77972,0
20,1,21,65,0.068,0,4.5981,0
21,1,15,90,1,1,0.68381,1
22,1,15,90,0.5,0,3.5043,0
23,1,21,90,0.068,1,0.67457,1
24,2,4,25,1,1,0.95501,0
25,1,10,65,1,0,0.47856,1
26,1,18,75,1,1,4.242,1
27,2,10,35,1,0,1.0774,1
28,1,10,65,0.068,1,1.3308,0
29,2,18,18,0.5,0,0.48187,1
30,1,18,18,1,1,0.69084,1
31,1,15,75,0.068,0,4.4998,0
32,1,18,35,1,1,0.59582,1
33,2,7,90,0.068,0,0.70447,0
34,2,7,25,0.5,0,0.38027,1
35,2,4,25,0.068,1,0.36172,0
36,1,15,75,0.068,1,0.51905,1
37,2,4,18,1,0,3.1673,1
38,2,21,65,0.068,1,0.40923,1
39,1,4,65,0.5,0,1.2311,1
40,2,15,90,1,1,2.1388,1
41,1,10,90,1,0,0.52288,1
42,2,15,90,0.5,1,0.40861,1
43,2,21,90,0.068,0,0.21082,0
44,1,4,65,0.5,1,0.99394,0
45,2,10,65,1,0,0.32514,0
46,1,7,18,1,1,1.159,0
47,2,18,75,1,0,1.3809,0
48,2,10,65,0.068,1,1.078,1
49,1,10,25,0.068,1,0.29997,0
50,1,18,35,0.068,1,0.83485,1
51,1,15,75,0.5,0,0.1803,0
52,2,18,18,1,0,0.70247,1
53,1,18,25,0.5,0,0.30465,0
54,1,15,75,1,1,0.95026,1
55,2,15,75,0.068,0,0.79442,0
56,1,10,35,1,0,0.0026734,1
57,2,18,35,1,1,0.29876,0
58,2,15,75,0.068,1,0.41516,1
59,1,15,75,0.5,0,0.31362,0
60,1,7,18,0.5,0,0.53645,1
61,1,15,75,0.068,1,0.73729,1
62,2,4,65,0.5,1,0.33797,1
63,2,10,90,1,0,1.1576,0
64,1,21,90,0.5,0,0.36858,0
65,2,4,65,0.5,1,1.9388,1
66,2,7,18,1,1,0.4063,0
67,1,21,65,0.5,0,1.4594,0
68,2,10,25,0.068,0,1.3604,1
69,2,18,35,0.068,1,0.84324,0
70,2,15,75,0.5,1,0.64319,1
71,2,18,25,0.5,0,0.0027263,1
72,2,15,75,1,0,0.42351,0
73,2,10,35,1,1,1.9586,0
74,1,15,90,0.068,1,0.0033711,1
75,1,21,25,0.068,1,0.3612,1
76,2,15,75,0.5,0,0.3829,0
77,1,4,18,0.5,1,2.9024,0
78,2,7,18,0.5,0,6.611,1
79,2,15,75,0.068,0,0.55247,0
80,2,21,90,0.5,1,0.42225,1
81,1,4,65,1,1,0.35956,0
82,2,21,65,0.5,0,0.34596,0
83,1,21,75,0.5,0,0.54988,0
84,2,15,90,0.068,1,0.4972,1
85,1,10,65,0.5,1,0.43806,0
86,2,21,25,0.068,0,0.47462,1
87,2,4,18,0.5,0,0.35983,1
88,1,4,18,0.068,1,0.59945,0
89,1,18,18,0.068,1,0.41905,1
90,2,4,65,1,0,0.75176,0
91,1,10,65,0.5,0,0.36181,1
92,1,21,25,1,1,0.33749,1
93,1,7,18,0.068,1,1.2055,0
94,1,4,65,1,0,0.46632,1
95,2,21,75,0.5,0,0.38188,0
96,2,10,65,0.5,1,0.72894,1
97,1,21,90,1,1,0.36636,1
98,1,15,75,1,0,0.31017,0
99,1,18,18,0.068,0,0.33927,0
100,2,4,18,0.068,1,0.38977,0
101,1,18,25,0.068,1,0.46493,1
102,2,18,18,0.068,0,1.1544,1
103,1,10,35,0.068,0,0.3253,1
104,1,21,65,1,1,0.3983,1
105,2,10,65,0.5,1,0.33934,1
106,2,21,25,1,0,0.38248,1
107,1,7,18,0.5,0,0.0033085,1
108,2,7,18,0.068,1,2.1194,0
109,2,4,65,1,1,0.34431,1
110,2,21,90,1,0,0.37007,0
111,1,15,75,0.5,0,0.0027033,0
112,1,7,18,0.068,0,0.31577,1
113,2,15,75,1,1,0.59253,1
114,2,18,18,0.068,1,0.43105,0
115,1,7,90,0.5,0,0.66819,1
116,1,7,25,0.068,0,0.40335,1
117,1,7,25,0.5,1,0.4121,0
118,2,18,25,0.068,1,0.4113,0
119,1,18,35,0.5,0,0.47459,0
120,2,10,35,0.068,0,0.39675,1
121,2,21,65,1,1,0.43155,1
122,1,4,25,0.5,1,0.71499,0
123,1,21,65,1,0,0.77054,0
124,2,7,18,0.5,0,2.1751,1
125,1,15,75,1,1,1.2619,1
126,2,15,75,0.5,1,0.5126,1
127,2,7,18,0.068,0,2.5431,1
128,1,4,18,1,0,0.67564,1
129,1,10,25,1,1,0.44825,0
130,2,7,90,0.5,1,0.4245,1
131,1,15,75,1,0,0.61782,0
132,2,7,25,0.068,0,0.40059,1
133,2,7,25,0.5,1,1.3863,0
134,1,21,75,1,1,2.1994,1
135,2,18,35,0.5,0,1.0433,1
136,2,4,25,0.5,0,0.36866,1
137,2,21,65,1,1,0.62713,1
138,1,10,35,0.5,1,0.38772,0
139,2,15,75,1,0,2.9787,0
140,1,4,35,1,0,0.3145,1
141,1,21,75,0.068,1,0.69992,1
142,2,4,18,1,1,0.50898,0
143,2,10,25,1,0,0.77383,1
144,2,15,75,1,0,0.72249,0
145,1,21,90,0.068,1,2.3401,1
146,2,21,75,1,1,0.8792,1
147,1,15,75,0.068,0,0.76746,0
148,2,10,35,0.5,0,0.45367,1
149,2,4,35,1,1,0.6925,0
150,1,4,35,0.068,1,0.40413,0
151,2,21,75,0.068,0,1.8164,0
152,2,21,90,0.068,0,0.66131,0
153,1,7,35,0.068,0,0.74747,1
154,1,21,65,0.5,1,0.58312,1
155,2,15,75,0.068,0,0.72302,0
156,1,18,18,0.5,1,0.40153,1
157,2,4,35,0.068,0,0.38448,1
158,2,7,35,0.068,1,0.86897,0
159,1,10,35,0.068,0,0.49336,1
160,1,15,90,1,1,0.62794,1
161,2,21,65,0.5,0,0.44944,0
162,1,15,90,0.5,1,0.35716,1
163,2,18,18,0.5,0,0.53769,1
164,1,18,75,0.5,1,0.83284,1
165,2,10,35,0.068,0,0.57353,1
166,2,15,90,1,1,0.49063,1
167,2,15,90,0.5,0,1.9339,0
168,2,18,75,0.5,1,0.52945,1
169,2,21,90,1,0,0.65525,0
170,1,21,90,1,1,1.1703,1
171,2,18,18,1,0,0.48753,1
172,1,18,18,1,0,0.38204,0
173,2,4,18,0.068,1,1.0336,0
174,2,4,18,0.5,1,0.37647,0
175,1,4,18,0.068,0,1.8888,1
176,1,4,18,0.5,0,0.37385,1
177,2,4,65,0.068,1,0.42045,1
178,2,21,65,0.068,1,0.30674,1
179,2,4,65,0.068,0,0.36599,0
180,1,4,65,0.068,0,0.25582,1
181,1,21,65,0.068,1,0.56027,1
182,2,7,18,1,1,0.4566,0
183,1,4,65,0.068,0,1.2507,1
184,1,7,18,1,0,0.39509,1
185,1,7,25,1,1,0.51734,0
186,2,7,25,1,1,1.0922,0
187,2,10,35,0.5,0,1.165,1
188,2,10,65,1,0,0.46906,0
189,1,10,35,0.5,1,0.93354,0
190,1,10,65,1,1,0.63675,0
191,2,4,35,0.5,0,0.46339,1
192,1,4,35,0.5,0,0.48291,1
193,1,18,75,0.068,1,0.54244,1
194,2,18,75,0.068,1,1.008,1
195,2,10,90,0.068,0,0.91926,0
196,2,15,90,0.068,0,0.95311,0
197,1,10,90,0.068,1,1.8786,0
198,1,15,90,0.068,1,0.49604,1
199,1,7,25,0.068,0,1.2371,1
200,1,15,75,0.5,0,0.68812,0
201,1,18,35,0.068,1,0.6602,1
202,2,7,25,0.068,1,0.36505,0
203,1,18,35,1,0,0.68879,0
204,2,15,75,0.5,0,0.39377,0
205,2,18,35,0.068,1,0.80768,0
206,2,18,35,1,1,0.8854,0
207,2,7,25,1,0,1.7952,1
208,1,7,25,1,0,0.50018,1
209,1,10,90,0.5,1,0.58846,0
210,1,10,65,0.068,1,0.42268,0
211,1,18,35,0.5,0,0.83503,0
212,2,10,90,0.5,0,0.52486,0
213,2,10,65,0.068,1,0.55353,1
214,2,18,35,0.5,1,1.3665,0
215,2,7,35,1,0,0.53409,1
216,1,7,35,1,1,1.0395,0
